respuesta,respuesta_LN,calificacion
Mejor calidad,"Los productos de Coca-Cola son de la mejor calidad",5
Igual calidad,"La calidad de los productos de Coca-Cola es similar a otras marcas",3
Peor calidad,"La calidad de los productos de Coca-Cola es inferior a otras marcas",2
No estoy seguro/No tengo opinión,"No tengo suficiente información para opinar sobre la calidad de los productos de Coca-Cola",1
Mejor calidad,"Considero que Coca-Cola tiene una calidad superior",5
Igual calidad,"La calidad de Coca-Cola se equipara a la de otras marcas",3
Peor calidad,"En mi opinión, los productos de Coca-Cola tienen una calidad inferior",2
No estoy seguro/No tengo opinión,"No puedo formar una opinión sobre la calidad de Coca-Cola",1
Mejor calidad,"Coca-Cola destaca por su alta calidad en comparación con otras marcas",5
Igual calidad,"La calidad de los productos de Coca-Cola es similar a las demás marcas",3
Peor calidad,"En mi experiencia, Coca-Cola tiene una calidad inferior a otras marcas",2
No estoy seguro/No tengo opinión,"No tengo una opinión formada sobre la calidad de los productos de Coca-Cola",1
Mejor calidad,"Los productos de Coca-Cola son de primera calidad",5
Igual calidad,"La calidad de los productos de Coca-Cola es promedio en comparación con otras marcas",3
Peor calidad,"En general, la calidad de Coca-Cola es inferior a otras marcas",2
No estoy seguro/No tengo opinión,"No puedo decir nada acerca de la calidad de los productos de Coca-Cola",1
Mejor calidad,"Coca-Cola se destaca por su excelente calidad",5
Igual calidad,"La calidad de Coca-Cola es similar a la de otras marcas",3
Peor calidad,"En mi opinión, los productos de Coca-Cola tienen una calidad inferior",2
No estoy seguro/No tengo opinión,"No tengo suficiente información para opinar sobre la calidad de Coca-Cola",1
Mejor calidad,"Considero que la calidad de Coca-Cola es superior a otras marcas",5
Igual calidad,"La calidad de los productos de Coca-Cola se encuentra en el mismo nivel que otras marcas",3
Peor calidad,"En comparación con otras marcas, la calidad de los productos de Coca-Cola es inferior",2
No estoy seguro/No tengo opinión,"No tengo suficiente información para formar una opinión sobre la calidad de Coca-Cola",1
Mejor calidad,"Los productos de Coca-Cola tienen una calidad sobresaliente",5
Igual calidad,"La calidad de Coca-Cola es comparable a la de otras marcas",3
Peor calidad,"En mi experiencia, Coca-Cola tiene una calidad inferior a otras marcas",2
No estoy seguro/No tengo opinión,"No puedo decir nada sobre la calidad de los productos de Coca-Cola",1
Mejor calidad,"Coca-Cola destaca por ofrecer productos de alta calidad",5
Igual calidad,"La calidad de Coca-Cola es similar a la de otras marcas",3
Peor calidad,"Considero que la calidad de Coca-Cola es inferior a otras marcas",2
No estoy seguro/No tengo opinión,"No tengo una opinión formada sobre la calidad de los productos de Coca-Cola",1
Mejor calidad,"Los productos de Coca-Cola se caracterizan por su excelente calidad",5
Igual calidad,"La calidad de Coca-Cola es comparable a la de otras marcas",3
Peor calidad,"En comparación con otras marcas, la calidad de los productos de Coca-Cola es inferior",2
No estoy seguro/No tengo opinión,"No tengo suficiente información para opinar sobre la calidad de Coca-Cola",1
Mejor calidad,"Considero que la calidad de Coca-Cola es superior a otras marcas",5
Igual calidad,"La calidad de los productos de Coca-Cola se encuentra en el mismo nivel que otras marcas",3
Peor calidad,"En mi opinión, los productos de Coca-Cola tienen una calidad inferior",2
No estoy seguro/No tengo opinión,"No tengo suficiente información para opinar sobre la calidad de Coca-Cola",1
Mejor calidad,"Los productos de Coca-Cola son de primera calidad",5
Igual calidad,"La calidad de los productos de Coca-Cola es promedio en comparación con otras marcas",3
Peor calidad,"En general, la calidad de Coca-Cola es inferior a otras marcas",2
No estoy seguro/No tengo opinión,"No puedo decir nada acerca de la calidad de los productos de Coca-Cola",1
Mejor calidad,"Coca-Cola se destaca por su excelente calidad",5
Igual calidad,"La calidad de Coca-Cola es similar a la de otras marcas",3
Peor calidad,"En mi opinión, los productos de Coca-Cola tienen una calidad inferior",2
No estoy seguro/No tengo opinión,"No tengo suficiente información para opinar sobre la calidad de Coca-Cola",1
Mejor calidad,"Considero que la calidad de Coca-Cola es superior a otras marcas",5
Igual calidad,"La calidad de los productos de Coca-Cola se encuentra en el mismo nivel que otras marcas",3
Peor calidad,"En comparación con otras marcas, la calidad de los productos de Coca-Cola es inferior",2
No estoy seguro/No tengo opinión,"No tengo suficiente información para formar una opinión sobre la calidad de Coca-Cola",1
Mejor calidad,"Los productos de Coca-Cola tienen una calidad sobresaliente",5
Igual calidad,"La calidad de Coca-Cola es comparable a la de otras marcas",3
Peor calidad,"En mi experiencia, Coca-Cola tiene una calidad inferior a otras marcas",2
No estoy seguro/No tengo opinión,"No puedo decir nada sobre la calidad de los productos de Coca-Cola",1
Mejor calidad,"Coca-Cola destaca por ofrecer productos de alta calidad",5
Igual calidad,"La calidad de Coca-Cola es similar a la de otras marcas",3
Peor calidad,"Considero que la calidad de Coca-Cola es inferior a otras marcas",2
No estoy seguro/No tengo opinión,"No tengo una opinión formada sobre la calidad de los productos de Coca-Cola",1
Mejor calidad,"Los productos de Coca-Cola se caracterizan por su excelente calidad",5
Igual calidad,"La calidad de Coca-Cola es comparable a la de otras marcas",3
Peor calidad,"En comparación con otras marcas, la calidad de los productos de Coca-Cola es inferior",2
No estoy seguro/No tengo opinión,"No tengo suficiente información para opinar sobre la calidad de Coca-Cola",1
Mejor calidad,"Considero que la calidad de Coca-Cola es superior a otras marcas",5
Igual calidad,"La calidad de los productos de Coca-Cola se encuentra en el mismo nivel que otras marcas",3
Peor calidad,"En mi opinión, los productos de Coca-Cola tienen una calidad inferior",2
No estoy seguro/No tengo opinión,"No tengo suficiente información para opinar sobre la calidad de Coca-Cola",1
Mejor calidad,"Los productos de Coca-Cola son de primera calidad",5
Igual calidad,"La calidad de los productos de Coca-Cola es promedio en comparación con otras marcas",3
Peor calidad,"En general, la calidad de Coca-Cola es inferior a otras marcas",2
No estoy seguro/No tengo opinión,"No puedo decir nada acerca de la calidad de los productos de Coca-Cola",1
Mejor calidad,"Coca-Cola se destaca por su excelente calidad",5
Igual calidad,"La calidad de Coca-Cola es similar a la de otras marcas",3
Peor calidad,"En mi opinión, los productos de Coca-Cola tienen una calidad inferior",2
No estoy seguro/No tengo opinión,"No tengo suficiente información para opinar sobre la calidad de Coca-Cola",1
Mejor calidad,"Considero que la calidad de Coca-Cola es superior a otras marcas",5
Igual calidad,"La calidad de los productos de Coca-Cola se encuentra en el mismo nivel que otras marcas",3
Peor calidad,"En comparación con otras marcas, la calidad de los productos de Coca-Cola es inferior",2
No estoy seguro/No tengo opinión,"No tengo suficiente información para formar una opinión sobre la calidad de Coca-Cola",1
Mejor calidad,"Los productos de Coca-Cola tienen una calidad sobresaliente",5
Igual calidad,"La calidad de Coca-Cola es comparable a la de otras marcas",3
Peor calidad,"En mi experiencia, Coca-Cola tiene una calidad inferior a otras marcas",2
No estoy seguro/No tengo opinión,"No puedo decir nada sobre la calidad de los productos de Coca-Cola",1
Mejor calidad,"Coca-Cola destaca por ofrecer productos de alta calidad",5
Igual calidad,"La calidad de Coca-Cola es similar a la de otras marcas",3
Peor calidad,"Considero que la calidad de Coca-Cola es inferior a otras marcas",2
No estoy seguro/No tengo opinión,"No tengo una opinión formada sobre la calidad de los productos de Coca-Cola",1
Mejor calidad,"Los productos de Coca-Cola se caracterizan por su excelente calidad",5
Igual calidad,"La calidad de Coca-Cola es comparable a la de otras marcas",3
Peor calidad,"En comparación con otras marcas, la calidad de los productos de Coca-Cola es inferior",2
No estoy seguro/No tengo opinión,"No tengo suficiente información para opinar sobre la calidad de Coca-Cola",1
Mejor calidad,"Considero que la calidad de Coca-Cola es superior a otras marcas",5
Igual calidad,"La calidad de los productos de Coca-Cola se encuentra en el mismo nivel que otras marcas",3
Peor calidad,"En mi opinión, los productos de Coca-Cola tienen una calidad inferior",2
No estoy seguro/No tengo opinión,"No tengo suficiente información para opinar sobre la calidad de Coca-Cola",1
Mejor calidad,"Los productos de Coca-Cola son de primera calidad",5
Igual calidad,"La calidad de los productos de Coca-Cola es promedio en comparación con otras marcas",3
Peor calidad,"En general, la calidad de Coca-Cola es inferior a otras marcas",2
No estoy seguro/No tengo opinión,"No puedo decir nada acerca de la calidad de los productos de Coca-Cola",1
Mejor calidad,"Coca-Cola se destaca por su excelente calidad",5
Igual calidad,"La calidad de Coca-Cola es similar a la de otras marcas",3
Peor calidad,"En mi opinión, los productos de Coca-Cola tienen una calidad inferior",2
No estoy seguro/No tengo opinión,"No tengo suficiente información para opinar sobre la calidad de Coca-Cola",1
Mejor calidad,"Considero que la calidad de Coca-Cola es superior a otras marcas",5
Igual calidad,"La calidad de los productos de Coca-Cola se encuentra en el mismo nivel que otras marcas",3
Peor calidad,"En comparación con otras marcas, la calidad de los productos de Coca-Cola es inferior",2
No estoy seguro/No tengo opinión,"No tengo suficiente información para formar una opinión sobre la calidad de Coca-Cola",1
Mejor calidad,"Los productos de Coca-Cola tienen una calidad sobresaliente",5
Igual calidad,"Creo que su calidad no tuvo un cambio notable",3
Peor calidad,"En mi experiencia, Coca-Cola tiene una calidad inferior a otras marcas",2
No estoy seguro/No tengo opinión,"No puedo decir nada sobre la calidad de los productos de Coca-Cola",1
Mejor calidad,"Coca-Cola destaca por ofrecer productos de alta calidad",5
Igual calidad,"La calidad de Coca-Cola es similar a la de otras marcas",3
Peor calidad,"Considero que la calidad de Coca-Cola es inferior a otras marcas",2
No estoy seguro/No tengo opinión,"No tengo una opinión formada sobre la calidad de los productos de Coca-Cola",1
